EcritureID;Scenario;Annee;Mois;Date;CodeEntite;Entite;Site;CodeProduit;Produit;Canal;Compte;LibelleCompte;PosteP&L;Quantite;PrixUnitaire_EUR;Montant_kEUR;Client;CentreCout
EC00000001;Budget;2026;1;2026-01-24;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;2575.00;0.95;2.45;Géant Casino;
EC00000002;Budget;2026;1;2026-01-24;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;3488.00;0.95;3.31;Casino;
EC00000003;Budget;2026;1;2026-01-24;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;3566.00;0.95;3.39;Carrefour;
EC00000004;Budget;2026;1;2026-01-24;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;1816.00;0.95;1.73;Système U;
EC00000005;Budget;2026;1;2026-01-24;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;413.00;0.94;0.39;Cora;
EC00000006;Budget;2026;1;2026-01-04;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;4128.00;0.95;3.92;Monoprix;
EC00000007;Budget;2026;1;2026-01-04;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;981.00;0.95;0.93;Intermarché;
EC00000008;Budget;2026;1;2026-01-04;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;1878.00;0.95;1.78;Leclerc;
EC00000009;Budget;2026;1;2026-01-04;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;1721.00;0.95;1.64;Système U;
EC00000010;Budget;2026;1;2026-01-04;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;3290.00;0.95;3.13;Carrefour;
EC00000011;Budget;2026;1;2026-01-03;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;836.00;0.94;0.79;Système U;
EC00000012;Budget;2026;1;2026-01-03;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;694.00;0.95;0.66;Monoprix;
EC00000013;Budget;2026;1;2026-01-03;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;1196.00;0.95;1.14;Auchan;
EC00000014;Budget;2026;1;2026-01-03;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;6805.00;0.95;6.47;Carrefour;
EC00000015;Budget;2026;1;2026-01-03;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;1932.00;0.95;1.83;Géant Casino;
