EcritureID;Scenario;Annee;Mois;Date;CodeEntite;Entite;Site;CodeProduit;Produit;Canal;Compte;LibelleCompte;PosteP&L;Quantite;PrixUnitaire_EUR;Montant_kEUR;Client;CentreCout
EC00000001;Réel;2025;1;2025-01-26;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;733.00;0.95;0.70;Géant Casino;
EC00000002;Réel;2025;1;2025-01-26;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;2507.00;0.95;2.38;Intermarché;
EC00000003;Réel;2025;1;2025-01-26;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;4042.00;0.95;3.84;Leclerc;
EC00000004;Réel;2025;1;2025-01-26;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;3951.00;0.95;3.75;Carrefour;
EC00000005;Réel;2025;1;2025-01-26;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;2296.00;0.95;2.18;Casino;
EC00000006;Réel;2025;1;2025-01-23;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;2120.00;0.95;2.01;Géant Casino;
EC00000007;Réel;2025;1;2025-01-23;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;1061.00;0.95;1.01;Cora;
EC00000008;Réel;2025;1;2025-01-23;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;2537.00;0.95;2.41;Leclerc;
EC00000009;Réel;2025;1;2025-01-23;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;4051.00;0.95;3.85;Système U;
EC00000010;Réel;2025;1;2025-01-23;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;2494.00;0.95;2.37;Intermarché;
EC00000011;Réel;2025;1;2025-01-27;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;1379.00;0.95;1.31;Cora;
EC00000012;Réel;2025;1;2025-01-27;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;1249.00;0.95;1.19;Leclerc;
EC00000013;Réel;2025;1;2025-01-27;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;2440.00;0.95;2.32;Géant Casino;
EC00000014;Réel;2025;1;2025-01-27;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;926.00;0.95;0.88;Carrefour;
EC00000015;Réel;2025;1;2025-01-27;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;6389.00;0.95;6.06;Casino;
EC00000016;Réel;2025;1;2025-01-17;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;4345.00;0.95;4.13;Système U;
EC00000017;Réel;2025;1;2025-01-17;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;2345.00;0.95;2.23;Auchan;
EC00000018;Réel;2025;1;2025-01-17;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;1955.00;0.95;1.86;Casino;
EC00000019;Réel;2025;1;2025-01-17;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;1465.00;0.95;1.39;Leclerc;
EC00000020;Réel;2025;1;2025-01-17;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;1871.00;0.95;1.77;Cora;
EC00000021;Réel;2025;1;2025-01-23;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;707000;Ventes de marchandises;Chiffre d'affaires;2464.00;0.95;2.34;Carrefour;
EC00000022;Réel;2025;1;2025-01-23;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;707000;Ventes de marchandises;Chiffre d'affaires;2082.00;0.95;1.98;Monoprix;
EC00000023;Réel;2025;1;2025-01-23;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;707000;Ventes de marchandises;Chiffre d'affaires;793.00;0.95;0.75;Système U;
EC00000024;Réel;2025;1;2025-01-23;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;707000;Ventes de marchandises;Chiffre d'affaires;1722.00;0.95;1.64;Géant Casino;
EC00000025;Réel;2025;1;2025-01-23;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;707000;Ventes de marchandises;Chiffre d'affaires;3803.00;0.95;3.61;Casino;
EC00000026;Réel;2025;1;2025-01-14;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;1142.00;0.95;1.09;Casino;
EC00000027;Réel;2025;1;2025-01-14;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;3460.00;0.95;3.29;Monoprix;
EC00000028;Réel;2025;1;2025-01-14;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;4394.00;0.95;4.17;Géant Casino;
EC00000029;Réel;2025;1;2025-01-14;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;834.00;0.95;0.79;Auchan;
EC00000030;Réel;2025;1;2025-01-14;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;5311.00;0.95;5.04;Carrefour;
EC00000031;Réel;2025;1;2025-01-20;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;1889.00;0.95;1.79;Monoprix;
EC00000032;Réel;2025;1;2025-01-20;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;3827.00;0.95;3.63;Géant Casino;
EC00000033;Réel;2025;1;2025-01-20;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;1398.00;0.95;1.33;Leclerc;
EC00000034;Réel;2025;1;2025-01-20;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;3018.00;0.95;2.87;Casino;
EC00000035;Réel;2025;1;2025-01-20;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;3903.00;0.95;3.71;Système U;
EC00000036;Réel;2025;1;2025-01-15;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;1774.00;0.95;1.68;Cora;
EC00000037;Réel;2025;1;2025-01-15;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;3237.00;0.95;3.07;Casino;
EC00000038;Réel;2025;1;2025-01-15;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;4085.00;0.95;3.88;Leclerc;
EC00000039;Réel;2025;1;2025-01-15;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;2231.00;0.95;2.12;Carrefour;
EC00000040;Réel;2025;1;2025-01-15;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;381.00;0.97;0.37;Système U;
EC00000041;Réel;2025;1;2025-01-11;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;3029.00;0.95;2.88;Système U;
EC00000042;Réel;2025;1;2025-01-11;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;3076.00;0.95;2.92;Casino;
EC00000043;Réel;2025;1;2025-01-11;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;1509.00;0.95;1.43;Carrefour;
EC00000044;Réel;2025;1;2025-01-11;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;5861.00;0.95;5.57;Auchan;
EC00000045;Réel;2025;1;2025-01-11;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;1434.00;0.95;1.36;Géant Casino;
EC00000046;Réel;2025;1;2025-01-06;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;706000;Prestations de services;Chiffre d'affaires;1123.00;0.95;1.07;Casino;
EC00000047;Réel;2025;1;2025-01-06;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;706000;Prestations de services;Chiffre d'affaires;3424.00;0.95;3.25;Système U;
EC00000048;Réel;2025;1;2025-01-06;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;706000;Prestations de services;Chiffre d'affaires;3670.00;0.95;3.49;Carrefour;
EC00000049;Réel;2025;1;2025-01-06;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;706000;Prestations de services;Chiffre d'affaires;4565.00;0.95;4.34;Cora;
EC00000050;Réel;2025;1;2025-01-06;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;706000;Prestations de services;Chiffre d'affaires;269.00;0.93;0.25;Auchan;
EC00000051;Réel;2025;1;2025-01-11;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;316.00;0.95;0.30;Intermarché;
EC00000052;Réel;2025;1;2025-01-11;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;6727.00;0.95;6.39;Casino;
EC00000053;Réel;2025;1;2025-01-11;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;842.00;0.95;0.80;Monoprix;
EC00000054;Réel;2025;1;2025-01-11;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;1865.00;0.95;1.77;Géant Casino;
EC00000055;Réel;2025;1;2025-01-11;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;3044.00;0.95;2.89;Carrefour;
EC00000056;Réel;2025;1;2025-01-14;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;2645.00;0.95;2.51;Casino;
EC00000057;Réel;2025;1;2025-01-14;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;2603.00;0.95;2.47;Monoprix;
EC00000058;Réel;2025;1;2025-01-14;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;1080.00;0.95;1.03;Leclerc;
EC00000059;Réel;2025;1;2025-01-14;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;4264.00;0.95;4.05;Intermarché;
EC00000060;Réel;2025;1;2025-01-14;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;1918.00;0.95;1.82;Géant Casino;
