EcritureID;Scenario;Annee;Mois;Date;CodeEntite;Entite;Site;CodeProduit;Produit;Canal;Compte;LibelleCompte;PosteP&L;Quantite;PrixUnitaire_EUR;Montant_kEUR;Client;CentreCout
EC00000001;Réel;2026;1;2026-01-01;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;1267.00;0.95;1.20;Monoprix;
EC00000002;Réel;2026;1;2026-01-01;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;5143.00;0.95;4.89;Casino;
EC00000003;Réel;2026;1;2026-01-01;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;252.00;0.95;0.24;Système U;
EC00000004;Réel;2026;1;2026-01-01;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;1519.00;0.95;1.44;Carrefour;
EC00000005;Réel;2026;1;2026-01-01;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;7580.00;0.95;7.20;Intermarché;
EC00000006;Réel;2026;1;2026-01-16;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;3056.00;0.95;2.90;Auchan;
EC00000007;Réel;2026;1;2026-01-16;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;3415.00;0.95;3.24;Casino;
EC00000008;Réel;2026;1;2026-01-16;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;949.00;0.95;0.90;Monoprix;
EC00000009;Réel;2026;1;2026-01-16;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;5320.00;0.95;5.05;Système U;
EC00000010;Réel;2026;1;2026-01-16;BU01;Céréales & Meunerie;Roubaix;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;5953.00;0.95;5.67;Cora;
EC00000011;Réel;2026;1;2026-01-27;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;1603.00;0.95;1.52;Intermarché;
EC00000012;Réel;2026;1;2026-01-27;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;2956.00;0.95;2.81;Géant Casino;
EC00000013;Réel;2026;1;2026-01-27;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;1767.00;0.95;1.68;Auchan;
EC00000014;Réel;2026;1;2026-01-27;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;8038.00;0.95;7.63;Système U;
EC00000015;Réel;2026;1;2026-01-27;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;2144.00;0.95;2.04;Casino;
EC00000016;Réel;2026;1;2026-01-05;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;2597.00;0.95;2.47;Leclerc;
EC00000017;Réel;2026;1;2026-01-05;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;5320.00;0.95;5.05;Casino;
EC00000018;Réel;2026;1;2026-01-05;BU01;Céréales & Meunerie;Reims;P101;Farine T55 1kg;GMS;701000;Ventes produits finis;Chiffre d'affaires;900.00;0.96;0.86;Système U;
